Question,Answer
Hie,"Hello, I am your customer service bot. Continue asking more relating to our services and products"
What services?,"Well, we offer you affordable and delicious foods. We are 'Eat and Lick'"
Do you have any dairy-free options?,"Yes, we offer a variety of dairy-free options such as our fruit sorbets"
What are your ingredients in your chocolate chip cookies?,"Contains flour, sugar, butter, chocolate chips and other ingredients"
"I have a nut allergy, what products can I get?",We recommend you to the hospital for prescription
Do you have any seasonal flavors?,"Yes, we have seasonal flavors. Check our website for current offerings"
Can I order online and have it delivered?,Currently we don�t have any online ordering but I can refere you to the nearest location
What is your best selling flavor?,Our best selling flavor is our Classic Vanilla Ice Cream
Do you offer catering?,"Yes, we offer catering services for events. Contact us for more information"
Can I buy your products in stores?,"Yes, we have a number of stores where our products can be found. Find more locations in our site"
Do you offer gift cards?,"Yes, we sell them especially to ice cream lovers"
Do you accept food returns?,We don't accept food returns. We always try to satisfy customers to avoid this
Do you offer discounts?,"Yes, we offer discounts to frequent customers. You can be the one too."
Where do you get your ingredients?,We dont expose such information for our competitive advantage
Where can I see the products you are offering?,You can check to our product's catalogue
Do you have prices for these products?,I can refere you to the price list of the products
Can I buy the products at wholesale?,"Yes, you can do that. Contact us when you are ready"
What is the most unique flavor,It is Raspberry Basil Sorbet. Its a refreshing and unexpected combination
Are your products organic,"Yes, some are but are not fully certified organic"
okay,We offer a range of products you may like
product, We deal with fast food products. We have our specialised catering.
how can i see your catalogue,Check out on our site or just the product catalogue list on the dashboard
which ones,Visit our product list
where is that,Visit the dashboard or our site
where,Check your nearest location
where can i get them,Visit any nearest store of us
i mean yours,Check out on our site
hello,"Hello, how can I assit today"
its fine,"If you are satisfied, leave feeback"
price,Visit the price list
yes,Have a goodday
service,We offer a number of services and products
hey,"Hie, how are you"
im keeping well,We provide you with your deliciuosis
thats grt,"Well, whats your plan for the products"
nothing,okay
sharp,Wish you a nice diet
what can i eat today,"We have a lot you can eat, visit the product catalogue"
how can i access them,You can check our product catalogue 
no problem,Have a nice day
